web_name,gw,shots,player_id
Raya,1,0.0,15
Ramsdale,1,0.0,14
Morgan,1,0.0,780
Koné,1,0.0,779
Moorhouse,1,0.0,778
Fredricson,1,0.0,777
Peart-Harris,1,0.0,103
Anselmino,1,0.0,774
Heath,1,0.0,773
Dermot Mee,1,0.0,788
Genesis Antwi,1,0.0,787
Benjamin Fredrick,1,0.0,786
Echeverri,1,0.0,785
Mané,1,0.0,784
Graczyk,1,0.0,783
Samuels-Smith,1,0.0,782
Hein,1,0.0,5
Harry Howell,1,0.0,795
Coby Ebere,1,0.0,775
Yang,1,0.0,717
Kinsky,1,0.0,716
Godfrey,1,0.0,715
Soler,1,0.0,713
Akinmboni,1,0.0,712
Okoduwa,1,0.0,711
Jimoh,1,0.0,710
Ajayi,1,0.0,729
Silcott-Duberry,1,0.0,728
McKenna,1,0.0,727
Sherif,1,0.0,724
Gauci,1,0.0,39
Adu-Adjei,1,0.0,722
Hennessey,1,0.0,721
Dendoncker,1,0.0,33
Guardiola,1,0.0,736
Arteta,1,0.0,735
Vitor Reis,1,0.0,733
Olabade Aluko,1,0.0,796
Marschall,1,0.0,46
Kesler-Hayden,1,0.0,43
Iling Jr,1,0.0,41
Hause,1,0.0,40
Sadi,1,0.0,723
O'Brien-Whitmarsh,1,0.0,693
Danns,1,0.0,709
Wilson-Brown,1,0.0,708
Rees-Dottin,1,0.0,707
Abbott,1,0.0,706
Arthur,1,0.0,705
Brits,1,0.0,704
Alleyne,1,0.0,703
Harris,1,0.0,702
Rodney,1,0.0,647
Umeh-Chibueze,1,0.0,644
Freddie Simmonds,1,0.0,794
Zych,1,0.0,641
Ji-soo,1,0.0,96
Hickey,1,0.0,93
Henry,1,0.0,92
Kabia,1,0.0,659
Heaven,1,0.0,658
Kacurri,1,0.0,657
Young,1,0.0,656
Meghoma,1,0.0,649
Wheatley,1,0.0,648
Fletcher,1,0.0,667
Casey,1,0.0,643
Jack Henry-Francis,1,0.0,793
Monga,1,0.0,792
Charlie Tasker,1,0.0,791
Gower,1,0.0,790
Neave,1,0.0,789
Hardy,1,0.0,684
Olusesi,1,0.0,683
Edozie,1,0.0,459
McConville,1,0.0,681
Kinsey,1,0.0,680
Broggio,1,0.0,679
Cartwright,1,0.0,694
Marsh,1,0.0,676
Nallo,1,0.0,692
Kukonki,1,0.0,691
Amissah,1,0.0,690
Williams-Barnett,1,0.0,689
Nyoni,1,0.0,688
Winterburn,1,0.0,687
Mayers,1,0.0,686
Slater,1,0.0,685
King,1,0.0,604
Dorrington,1,0.0,699
Rak-Sakyi,1,0.0,695
Bates,1,0.0,678
Panzo,1,0.0,441
Omobamidele,1,0.0,440
O'Brien,1,0.0,582
O.Richards,1,0.0,438
Mighten,1,0.0,435
Marcal,1,0.0,297
Iversen,1,0.0,294
Hermansen,1,0.0,293
Golding,1,0.0,292
Worrall,1,0.0,448
Mazilu,1,0.0,133
Turner,1,0.0,445
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
João Cancelo,1,0.0,353
Tom Taylor,1,0.0,800
Boniface,1,0.0,799
Jay Robinson,1,0.0,798
Jake Evans,1,0.0,797
Onana,1,0.0,233
Malacia,1,0.0,379
Lindelof,1,0.0,376
Ui-jo,1,0.0,446
Mara,1,0.0,468
Lumley,1,0.0,466
Ndaba,1,0.0,279
Luongo,1,0.0,277
Ladapo,1,0.0,276
Humphreys,1,0.0,273
Harness,1,0.0,271
Edmundson,1,0.0,269
Baggott,1,0.0,261
Ederson M.,1,0.0,347
Carson,1,0.0,344
Sels,1,0.0,443
R.Williams,1,0.0,334
N.Phillips,1,0.0,332
Morton,1,0.0,331
McConnell,1,0.0,330
Dennis,1,0.0,599
Danilo,1,0.0,429
Da Silva Moreira,1,0.0,428
C.Miguel,1,0.0,427
Bowler,1,0.0,426
White,1,0.0,24
J.Alvarez,1,0.0,352
Bobb,1,0.0,343
Slot,1,0.0,744
McKenna,1,0.0,727
Moyes,1,0.0,742
Glasner,1,0.0,741
Maresca,1,0.0,740
Hürzeler,1,0.0,739
Van Nistelrooy,1,0.0,754
Silva,1,0.0,753
Frank,1,0.0,752
Pereira,1,0.0,751
Potter,1,0.0,750
Heaton,1,0.0,374
Rusk,1,0.0,748
Nuno,1,0.0,747
Martinez,1,0.0,47
Cashin,1,0.0,763
Harrison,1,0.0,224
Cassanova,1,0.0,760
Eyestone,1,0.0,759
Knight,1,0.0,758
Porter,1,0.0,756
Fábio Vieira,1,0.0,1
Palmer,1,0.0,182
Postecoglou,1,0.0,749
Hannibal,1,0.0,373
Bayindir,1,0.0,367
Hayden,1,0.0,400
Dúbravka,1,0.0,396
A.Murphy,1,0.0,390
Pellistri,1,0.0,384
Kelleher,1,0.0,325
Targett,1,0.0,416
Ruddy,1,0.0,414
Pope,1,0.0,413
Odysseas,1,0.0,412
Amorim,1,0.0,745
Lascelles,1,0.0,407
Kuol,1,0.0,406
Kayi Sanda,1,0.0,719
Emery,1,0.0,737
Anthony,1,0.0,61
Aarons,1,0.0,59
Sousa,1,0.0,56
Sinisalo,1,0.0,55
Olsen,1,0.0,51
Nedeljkovic,1,0.0,50
Howe,1,0.0,746
Lewis,1,0.0,355
O’Mahony,1,0.0,138
Moder,1,0.0,137
Ward,1,0.0,215
Rak-Sakyi,1,0.0,695
Ozoh,1,0.0,212
Matthews,1,0.0,209
Johnstone,1,0.0,204
Holding,1,0.0,202
Ebiowei,1,0.0,197
Zouma,1,0.0,532
N.Aguerd,1,0.0,529
McCarthy,1,0.0,469
Fabianski,1,0.0,521
Earthy,1,0.0,519
Areola,1,0.0,513
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
Cundle,1,0.0,540
Chiwome,1,0.0,539
Chirewa,1,0.0,538
Chiquinho,1,0.0,537
Bentley,1,0.0,536
B.Traore,1,0.0,534
Foderingham,1,0.0,522
Gonzalez,1,0.0,547
Fraser,1,0.0,397
Fábio Silva,1,0.0,545
Ahamada,1,0.0,190
Sánchez,1,0.0,185
Petrović,1,0.0,183
Marc Guiu,1,0.0,178
King,1,0.0,604
Kalajdžić,1,0.0,555
José Sá,1,0.0,554
Hoever,1,0.0,552
Offiah,1,0.0,139
H.Bueno,1,0.0,549
Amougou,1,0.0,771
Kozlowski,1,0.0,130
Wiley,1,0.0,575
Pivas,1,0.0,574
Muric,1,0.0,568
Verbruggen,1,0.0,146
Undav,1,0.0,143
Steele,1,0.0,142
Sarmiento,1,0.0,141
Peupion,1,0.0,140
Hodge,1,0.0,551
Stansfield,1,0.0,256
Chadi Riad,1,0.0,195
Whiteman,1,0.0,510
Vicario,1,0.0,508
Veliz,1,0.0,507
Solomon,1,0.0,502
Endo,1,0.0,320
Doak,1,0.0,318
Clark,1,0.0,315
Bajcetic,1,0.0,312
A.Becker,1,0.0,310
M.Sarr,1,0.0,176
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
Lis,1,0.0,465
Larios,1,0.0,464
Edwards,1,0.0,460
Edozie,1,0.0,459
Charles,1,0.0,458
Bazunu,1,0.0,454
Austin,1,0.0,479
A.Phillips,1,0.0,478
Taylor,1,0.0,281
Ward,1,0.0,215
Lukaku,1,0.0,175
Kellyman,1,0.0,173
Gilchrist,1,0.0,170
Gallagher,1,0.0,169
M.Salah,2,3.0,328
Semenyo,2,7.0,78
Palmer,2,5.0,182
Haaland,2,7.0,351
Cunha,2,4.0,541
Eze,2,5.0,199
Isak,2,5.0,401
Raúl,2,0.0,252
B.Fernandes,2,1.0,366
Garnacho,2,1.0,372
Watkins,2,2.0,58
Wissa,2,0.0,110
Bowen,2,1.0,514
Mbeumo,2,1.0,99
N.Jackson,2,1.0,180
Madueke,2,6.0,177
Kudus,2,2.0,525
Trossard,2,3.0,23
Luis Díaz,2,3.0,327
Delap,2,0.0,268
Szoboszlai,2,1.0,336
Evanilson,2,3.0,617
O.Dango,2,1.0,74
Iwobi,2,2.0,247
Mateta,2,1.0,207
Solanke,2,0.0,82
Kluivert,2,1.0,71
Gordon,2,2.0,398
Wood,2,3.0,447
Saka,2,1.0,17
Son,2,3.0,503
Mitoma,2,0.0,136
Savinho,2,0.0,571
Strand Larsen,2,2.0,566
Gibbs-White,2,4.0,433
Johnson,2,1.0,275
Barnes,2,1.0,392
Rogers,2,3.0,54
Welbeck,2,3.0,148
Foden,2,0.0,348
Vardy,2,0.0,306
Havertz,2,1.0,4
Neto,2,0.0,73
Georginio,2,0.0,618
Souček,2,3.0,530
Gakpo,2,1.0,321
Enzo,2,0.0,168
Tavernier,2,2.0,83
I.Sarr,2,1.0,585
De Bruyne,2,4.0,345
João Pedro,2,3.0,129
Calvert-Lewin,2,1.0,220
Diogo J.,2,4.0,317
Martinelli,2,0.0,9
Kulusevski,2,0.0,492
Schade,2,0.0,106
Joelinton,2,1.0,403
Alexander-Arnold,2,2.0,311
Ødegaard,2,1.0,13
Rice,2,1.0,16
J.Murphy,2,0.0,402
Muniz,2,7.0,251
Enciso,2,1.0,121
Baleba,2,0.0,115
Amad,2,2.0,364
L.Paquetá,2,3.0,527
Maddison,2,3.0,494
Bruno G.,2,2.0,394
M.Fernandes,2,0.0,623
Mac Allister,2,0.0,329
Elanga,2,2.0,432
Kovačić,2,0.0,354
Pedro Porro,2,1.0,495
Hudson-Odoi,2,1.0,434
Tielemans,2,0.0,57
Gvardiol,2,0.0,350
Andreas,2,2.0,240
Marmoush,2,0.0,755
Nketiah,2,0.0,11
Adama,2,3.0,239
Hutchinson,2,0.0,274
Anderson,2,2.0,423
Beto,2,0.0,218
Rashford,2,0.0,385
Smith Rowe,2,2.0,19
Buonanotte,2,0.0,117
Nørgaard,2,1.0,101
Ndiaye,2,1.0,232
N.Williams,2,5.0,437
Christie,2,0.0,63
J.Gomes,2,1.0,553
Onuachu,2,0.0,470
Damsgaard,2,0.0,89
Aït-Nouri,2,1.0,533
Yates,2,1.0,449
Merino,2,0.0,633
Muñoz,2,0.0,211
Darwin,2,0.0,316
Jones,2,0.0,324
Duran,2,1.0,38
P.M.Sarr,2,0.0,499
Tonali,2,0.0,417
A.Doucoure,2,1.0,217
Wilson,2,0.0,259
Schär,2,0.0,415
Bernardo,2,1.0,342
Lindstrøm,2,1.0,577
Dibling,2,0.0,608
J.Ayew,2,1.0,192
Minteh,2,2.0,135
Casemiro,2,3.0,368
Bailey,2,1.0,28
Archer,2,0.0,27
Zirkzee,2,0.0,389
Lewis-Potter,2,2.0,98
Harrison,2,2.0,224
Gana,2,0.0,222
Milenković,2,3.0,573
Armstrong,2,1.0,603
Mavididi,2,0.0,298
Adingra,2,1.0,113
McGinn,2,0.0,48
