web_name,gw,SiB,player_id
Rak-Sakyi,1,,695
Cartwright,1,,694
Okoduwa,1,,711
Jimoh,1,,710
Danns,1,,709
Wilson-Brown,1,,708
Rees-Dottin,1,,707
Abbott,1,,706
Arthur,1,,705
Brits,1,,704
Wheatley,1,,648
Rodney,1,,647
Echeverri,1,,785
Umeh-Chibueze,1,,644
Casey,1,,643
Zych,1,,641
Ji-soo,1,0.0,96
Sánchez,1,0.0,185
Jaros,1,,660
Kabia,1,,659
Heaven,1,,658
Kacurri,1,,657
Young,1,,656
Meghoma,1,,649
Davies,1,,669
Agbinone,1,,646
Heaton,1,0.0,374
Hannibal,1,0.0,373
Bayindir,1,0.0,367
Walker,1,0.0,363
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
Slater,1,,685
Hardy,1,,684
Olusesi,1,,683
Edozie,1,,459
McConville,1,,681
Kinsey,1,,680
Dorrington,1,,699
Bates,1,,678
O'Brien-Whitmarsh,1,,693
Nallo,1,,692
Kukonki,1,,691
Amissah,1,,690
Williams-Barnett,1,,689
Nyoni,1,,688
Winterburn,1,,687
Mayers,1,,686
Alleyne,1,,703
Harris,1,,702
King,1,,604
Broggio,1,,679
Sangaré,1,0.0,442
N.Phillips,1,0.0,332
Morton,1,0.0,331
McConnell,1,0.0,330
Kelleher,1,0.0,325
Pellistri,1,0.0,384
Onana,1,0.0,233
Malacia,1,0.0,379
A.Murphy,1,0.0,390
Shaw,1,0.0,387
J.Alvarez,1,0.0,352
Pivas,1,0.0,574
Carson,1,0.0,344
Bobb,1,0.0,343
R.Williams,1,0.0,334
Lewis,1,0.0,355
Lascelles,1,0.0,407
Kuol,1,0.0,406
Hayden,1,0.0,400
Fraser,1,0.0,397
Dúbravka,1,0.0,396
Marcal,1,0.0,297
Iversen,1,0.0,294
Ederson M.,1,0.0,347
A.Becker,1,0.0,310
Winks,1,0.0,309
Ward,1,0.0,215
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
C.Miguel,1,0.0,427
Bowler,1,0.0,426
White,1,0.0,24
Endo,1,0.0,320
Doak,1,0.0,318
Clark,1,0.0,315
Sels,1,0.0,443
Omobamidele,1,0.0,440
O'Brien,1,0.0,582
O.Richards,1,0.0,438
Mighten,1,0.0,435
Dennis,1,0.0,599
Danilo,1,0.0,429
Da Silva Moreira,1,0.0,428
Baggott,1,0.0,261
Worrall,1,0.0,448
Ui-jo,1,0.0,446
Turner,1,0.0,445
Toffolo,1,0.0,444
Panzo,1,0.0,441
Potter,1,,750
Postecoglou,1,,749
Rusk,1,,748
Nuno,1,,747
Jorginho,1,0.0,7
Cashin,1,,763
Harrison,1,,224
Cassanova,1,,760
Eyestone,1,,759
Knight,1,,758
Porter,1,,756
Hermansen,1,0.0,293
Iraola,1,,738
Lindelof,1,0.0,376
Kayi Sanda,1,,719
Fredricson,1,,777
Coby Ebere,1,,775
Anselmino,1,,774
Heath,1,,773
Amougou,1,,771
Djiga,1,,769
Barrenechea,1,0.0,30
Raya,1,0.0,15
Martinez,1,0.0,47
Golding,1,0.0,292
Targett,1,0.0,416
Ruddy,1,0.0,414
Pope,1,0.0,413
Odysseas,1,0.0,412
Palmer,1,,182
Emery,1,,737
Anthony,1,0.0,61
Aarons,1,0.0,59
Sousa,1,0.0,56
Sinisalo,1,0.0,55
Pereira,1,,751
Nedeljkovic,1,0.0,50
Howe,1,,746
Amorim,1,,745
Slot,1,,744
McKenna,1,,727
Moyes,1,,742
Glasner,1,,741
Maresca,1,,740
Hürzeler,1,,739
Van Nistelrooy,1,,754
Silva,1,,753
Frank,1,,752
Olsen,1,0.0,51
Ozoh,1,0.0,212
Matthews,1,0.0,209
Johnstone,1,0.0,204
Holding,1,0.0,202
B.Traore,1,0.0,534
Zouma,1,0.0,532
N.Aguerd,1,0.0,529
Foderingham,1,0.0,522
Fabianski,1,0.0,521
Earthy,1,0.0,519
Cresswell,1,0.0,517
Bajcetic,1,0.0,312
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
Cundle,1,0.0,540
Chiwome,1,0.0,539
Chirewa,1,0.0,538
Chiquinho,1,0.0,537
Bentley,1,0.0,536
Marc Guiu,1,0.0,178
M.Sarr,1,0.0,176
Lukaku,1,0.0,175
Kellyman,1,0.0,173
Deivid,1,0.0,165
Petrović,1,0.0,183
Muric,1,0.0,568
Podence,1,0.0,562
Pedro Lima,1,0.0,561
King,1,0.0,604
Kalajdžić,1,0.0,555
José Sá,1,0.0,554
Hoever,1,0.0,552
Hodge,1,0.0,551
Moder,1,0.0,137
Mazilu,1,0.0,133
Rak-Sakyi,1,0.0,695
Irving,1,0.0,576
Wiley,1,0.0,575
Ramsdale,1,0.0,14
Verbruggen,1,0.0,146
Undav,1,0.0,143
Steele,1,0.0,142
Sarmiento,1,0.0,141
Peupion,1,0.0,140
Offiah,1,0.0,139
O’Mahony,1,0.0,138
Areola,1,0.0,513
Ward,1,0.0,215
Kozlowski,1,0.0,130
Morsy,1,0.0,278
Luongo,1,0.0,277
Ladapo,1,0.0,276
Humphreys,1,0.0,273
Harness,1,0.0,271
