web_name,gw,tpa,player_id
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
Irving,1,0.0,576
Wiley,1,0.0,575
Pivas,1,0.0,574
Muric,1,0.0,568
Podence,1,0.0,562
Petrović,1,0.0,183
M.Sarr,1,0.0,176
Pellistri,1,0.0,384
Kellyman,1,0.0,173
Gilchrist,1,0.0,170
Gallagher,1,0.0,169
Benda,1,0.0,242
Pickford,1,0.0,235
Maupay,1,0.0,229
J.Virginia,1,0.0,227
Holgate,1,0.0,225
Cannon,1,0.0,286
Areola,1,0.0,513
Lukaku,1,0.0,175
Jørgensen,1,0.0,581
Casadei,1,0.0,158
Bettinelli,1,0.0,155
Bergström,1,0.0,154
Konak,1,0.0,97
Alves,1,0.0,606
Trevitt,1,0.0,602
Moran,1,0.0,601
Dennis,1,0.0,599
Fraser,1,0.0,397
Gonzalez,1,0.0,547
Ward,1,0.0,215
Rak-Sakyi,1,0.0,695
Matthews,1,0.0,209
Johnstone,1,0.0,204
King,1,0.0,604
Kalajdžić,1,0.0,555
José Sá,1,0.0,554
Hoever,1,0.0,552
Hodge,1,0.0,551
H.Bueno,1,0.0,549
Fábio Silva,1,0.0,545
Lo Celso,1,0.0,493
Højbjerg,1,0.0,490
Forster,1,0.0,488
E.Royal,1,0.0,487
Devine,1,0.0,485
Edmundson,1,0.0,269
Baggott,1,0.0,261
Whiteman,1,0.0,510
Vicario,1,0.0,508
Veliz,1,0.0,507
Stansfield,1,0.0,256
Walton,1,0.0,283
Slicker,1,0.0,280
Ndaba,1,0.0,279
Ladapo,1,0.0,276
Humphreys,1,0.0,273
R.Williams,1,0.0,334
N.Phillips,1,0.0,332
Morton,1,0.0,331
McConnell,1,0.0,330
Kelleher,1,0.0,325
Solomon,1,0.0,502
Ream,1,0.0,253
Mbabu,1,0.0,250
Leno,1,0.0,248
M.Salah,2,8.0,328
Semenyo,2,10.0,78
Isak,2,11.0,401
Haaland,2,10.0,351
Garnacho,2,5.0,372
Martinelli,2,5.0,9
Madueke,2,6.0,177
Mitoma,2,3.0,136
Watkins,2,3.0,58
Kulusevski,2,3.0,492
Luis Díaz,2,4.0,327
Savinho,2,6.0,571
Mbeumo,2,2.0,99
Raúl,2,0.0,252
Bowen,2,3.0,514
N.Jackson,2,4.0,180
Wissa,2,1.0,110
Saka,2,5.0,17
Trossard,2,4.0,23
Rogers,2,4.0,54
Palmer,2,3.0,182
O.Dango,2,1.0,74
Bernardo,2,6.0,342
Schade,2,0.0,106
Doku,2,3.0,346
Gordon,2,4.0,398
João Pedro,2,3.0,129
Minteh,2,12.0,135
Johnson,2,6.0,275
I.Sarr,2,2.0,585
Kudus,2,2.0,525
Son,2,3.0,503
Cunha,2,7.0,541
Solanke,2,0.0,82
Kluivert,2,3.0,71
Evanilson,2,4.0,617
Amad,2,3.0,364
Sancho,2,0.0,386
Iwobi,2,3.0,247
Strand Larsen,2,4.0,566
Havertz,2,4.0,4
Ødegaard,2,8.0,13
Vardy,2,0.0,306
Neto,2,2.0,73
Szoboszlai,2,5.0,336
Barnes,2,4.0,392
Souček,2,6.0,530
Elanga,2,5.0,432
Welbeck,2,4.0,148
Diogo J.,2,6.0,317
Muñoz,2,2.0,211
Wood,2,4.0,447
Gakpo,2,1.0,321
Adama,2,5.0,239
Gvardiol,2,1.0,350
Eze,2,6.0,199
Mateta,2,3.0,207
Delap,2,2.0,268
