web_name,gw,SoT,player_id
Georginio,2,0.0,618
Christie,2,0.0,63
Tielemans,2,0.0,57
Kovačić,2,0.0,354
Darwin,2,0.0,316
Gvardiol,2,0.0,350
Nørgaard,2,0.0,101
Zirkzee,2,0.0,389
Nkunku,2,0.0,181
Adama,2,1.0,239
Baleba,2,0.0,115
Merino,2,,633
Bernardo,2,0.0,342
Lindstrøm,2,1.0,577
Brooks,2,0.0,62
Buonanotte,2,0.0,117
Schär,2,0.0,415
M.Asensio,2,,762
Tonali,2,0.0,417
Smith Rowe,2,1.0,19
Archer,2,0.0,27
Højlund,2,0.0,375
Rice,2,1.0,16
Bruno G.,2,1.0,394
Dibling,2,0.0,608
De Ligt,2,0.0,593
A.Doucoure,2,0.0,217
Cucurella,2,0.0,163
Doku,2,0.0,346
Wilson,2,0.0,259
McNeil,2,0.0,230
Andreas,2,0.0,240
Yates,2,0.0,449
Nwaneri,2,0.0,12
Ndidi,2,1.0,300
J.Ayew,2,0.0,192
Pedro Porro,2,0.0,495
Romero,2,2.0,498
Armstrong,2,0.0,603
Kamaldeen,2,0.0,462
Sarabia,2,1.0,565
Aït-Nouri,2,0.0,533
Malen,2,,725
Alexander-Arnold,2,0.0,311
Casemiro,2,1.0,368
Damsgaard,2,0.0,89
Tel,2,,768
J.Gomes,2,0.0,553
Richarlison,2,0.0,497
Virgil,2,1.0,339
Jota Silva,2,0.0,596
Ayari,2,0.0,600
Guedes,2,0.0,548
Sessegnon,2,0.0,579
C.Soler,2,,654
Milenković,2,0.0,573
Emerson,2,0.0,520
Enes Ünal,2,0.0,65
Lerma,2,0.0,206
G.Jesus,2,0.0,2
Aribo,2,0.0,452
Harwood-Bellis,2,0.0,461
Sancho,2,0.0,386
Thomas,2,1.0,20
Mavididi,2,0.0,298
Guéhi,2,0.0,200
Anderson,2,0.0,423
Dominguez,2,0.0,431
Adingra,2,0.0,113
Alcaraz,2,0.0,450
Estupiñan,2,0.0,122
Mangala,2,,651
O'Riley,2,,629
El Khannouss,2,,635
N.Semedo,2,0.0,559
Calafiori,2,0.0,578
Pinnock,2,0.0,104
Hinshelwood,2,0.0,126
Collins,2,1.0,88
Sinisterra,2,1.0,80
Walker-Peters,2,1.0,476
N.Williams,2,1.0,437
Chalobah,2,0.0,159
Martinez,2,0.0,47
Broadhead,2,0.0,262
Justin,2,0.0,295
Harrison,2,0.0,224
Onana,2,0.0,233
Nelson,2,0.0,10
Bailey,2,1.0,28
Munetsi,2,,770
Maatsen,2,0.0,45
Wharton,2,0.0,216
McGinn,2,0.0,48
Gana,2,0.0,222
Gündogan,2,0.0,625
Mario Jr.,2,0.0,557
Füllkrug,2,1.0,589
Lacroix,2,,650
João Félix,2,1.0,621
Sosa,2,0.0,620
Gabriel,2,0.0,3
Scott,2,0.0,77
Van Hecke,2,0.0,144
Dalot,2,0.0,369
Maguire,2,0.0,377
Van den Berg,2,0.0,338
Barkley,2,0.0,29
Gravenberch,2,0.0,323
Andersen,2,0.0,191
L.Paquetá,2,0.0,527
Mavropanos,2,0.0,528
Bellegarde,2,0.0,535
Kerkez,2,0.0,70
A.Fatawu,2,1.0,570
Ings,2,0.0,523
Jaden,2,0.0,569
C.Richards,2,0.0,194
Carvalho,2,0.0,314
Bentancur,2,0.0,480
Murillo,2,0.0,436
Rúben,2,0.0,361
Wan-Bissaka,2,0.0,388
Sugawara,2,0.0,474
Grealish,2,0.0,349
Ramsey,2,1.0,53
Bissouma,2,1.0,482
Awoniyi,2,0.0,424
Burn,2,1.0,395
Bassey,2,0.0,241
Taylor,2,0.0,281
Kamada,2,0.0,205
