web_name,gw,SoT
Diogo J.,2,0
Mac Allister,2,0
Amad,2,1
Joelinton,2,1
Muñoz,2,0
Szmodics,2,1
Jones,2,0
Nketiah,2,0
Georginio,2,0
Christie,2,0
Tielemans,2,0
Kovačić,2,0
Darwin,2,0
Gvardiol,2,0
Nørgaard,2,0
Zirkzee,2,0
Nkunku,2,0
Adama,2,1
Baleba,2,0
Merino,2,
Bernardo,2,0
Lindstrøm,2,1
Brooks,2,0
Buonanotte,2,0
Schär,2,0
M.Asensio,2,
Tonali,2,0
Smith Rowe,2,1
Archer,2,0
Højlund,2,0
Rice,2,1
Bruno G.,2,1
Dibling,2,0
De Ligt,2,0
A.Doucoure,2,0
Cucurella,2,0
Doku,2,0
Wilson,2,0
McNeil,2,0
Andreas,2,0
Yates,2,0
Nwaneri,2,0
Ndidi,2,1
J.Ayew,2,0
Pedro Porro,2,0
Romero,2,2
Armstrong,2,0
Kamaldeen,2,0
Sarabia,2,1
Aït-Nouri,2,0
Malen,2,
Alexander-Arnold,2,0
Casemiro,2,1
Damsgaard,2,0
Tel,2,
J.Gomes,2,0
Richarlison,2,0
Virgil,2,1
Jota Silva,2,0
Ayari,2,0
Guedes,2,0
Sessegnon,2,0
C.Soler,2,
Milenković,2,0
Emerson,2,0
Enes Ünal,2,0
Lerma,2,0
G.Jesus,2,0
Aribo,2,0
Harwood-Bellis,2,0
Sancho,2,0
Thomas,2,1
Mavididi,2,0
Guéhi,2,0
Anderson,2,0
Dominguez,2,0
Adingra,2,0
Alcaraz,2,0
Estupiñan,2,0
Mangala,2,
O'Riley,2,
El Khannouss,2,
N.Semedo,2,0
Calafiori,2,0
Pinnock,2,0
Hinshelwood,2,0
Collins,2,1
Sinisterra,2,1
Walker-Peters,2,1
N.Williams,2,1
Chalobah,2,0
Martinez,2,0
Broadhead,2,0
Justin,2,0
Harrison,2,0
Onana,2,0
Nelson,2,0
Bailey,2,1
Munetsi,2,
Maatsen,2,0
Wharton,2,0
McGinn,2,0
Gana,2,0
Gündogan,2,0
Mario Jr.,2,0
Füllkrug,2,1
Lacroix,2,
João Félix,2,1
Sosa,2,0
Gabriel,2,0
Scott,2,0
Van Hecke,2,0
Dalot,2,0
Maguire,2,0
Van den Berg,2,0
Barkley,2,0
Gravenberch,2,0
Andersen,2,0
L.Paquetá,2,0
Mavropanos,2,0
Bellegarde,2,0
Kerkez,2,0
A.Fatawu,2,1
Ings,2,0
Jaden,2,0
C.Richards,2,0
Carvalho,2,0
Bentancur,2,0
Murillo,2,0
Rúben,2,0
Wan-Bissaka,2,0
Sugawara,2,0
Grealish,2,0
Ramsey,2,1
Bissouma,2,1
Awoniyi,2,0
Burn,2,1
Bassey,2,0
Taylor,2,0
Kamada,2,0
Summerville,2,0
J.Timber,2,0
Cash,2,0
Tarkowski,2,0
Daka,2,0
Wieffer,2,0
Greaves,2,0
Gusto,2,0
Janelt,2,0
Cook,2,0
Devenny,2,
Hirst,2,0
Antonio,2,0
Winks,2,0
McAtee,2,0
Digne,2,0
Konaté,2,1
Konsa,2,0
De Cordova-Reid,2,1
Caicedo,2,0
S.Bueno,2,0
Johnson,2,0
Colwill,2,0
Downes,2,0
Castagne,2,0
R.Gomes,2,0
O'Brien,2,0
Doherty,2,0
James,2,0
Keane,2,0
Young,2,0
Branthwaite,2,0
Hee Chan,2,0
Ugarte,2,
Ferguson,2,0
Antony,2,0
Matheus N.,2,0
Bradley,2,0
McAteer,2,0
Mount,2,1
Mazraoui,2,0
Chaplin,2,0
Willock,2,0
Dunk,2,0
Werner,2,0
Spence,2,0
Ajer,2,0
Garner,2,0
Pau,2,0
M.França,2,0
Odobert,2,0
J.Clarke,2,
Saliba,2,0
