web_name,gw,shots,player_id
Sarabia,2,1,565
Aribo,2,0,452
Taylor,2,0,281
Maatsen,2,0,45
Lukić,2,0,249
Robinson,2,0,255
Mangala,2,,651
Van den Berg,2,0,338
Wan-Bissaka,2,0,388
Emerson,2,0,520
Van Hecke,2,0,144
Romero,2,3,498
Colwill,2,0,162
N.Semedo,2,0,559
Daka,2,0,289
Malen,2,,725
Munetsi,2,,770
Barkley,2,1,29
Tarkowski,2,3,236
Grealish,2,1,349
Guéhi,2,0,200
Hinshelwood,2,0,126
J.Timber,2,0,6
Füllkrug,2,2,589
Janelt,2,0,94
J.Clarke,2,,631
Summerville,2,0,587
Davis,2,0,267
Ings,2,0,523
Bassey,2,0,241
Cook,2,0,64
Digne,2,0,36
Elliott,2,0,319
Robertson,2,2,335
Mainoo,2,0,378
Mount,2,1,382
A.Fatawu,2,3,570
Sessegnon,2,0,579
Mazraoui,2,0,594
Scott,2,1,77
Sinisterra,2,1,80
Wharton,2,1,216
Sugawara,2,1,474
Mykolenko,2,0,231
Chaplin,2,0,265
Tosin,2,0,187
Kilman,2,1,524
Dunk,2,0,120
Carvalho,2,0,314
Maguire,2,1,377
Ferguson,2,0,123
McAtee,2,0,357
Hall,2,0,399
Faes,2,3,291
Eriksen,2,0,370
Bissouma,2,1,482
Mitchell,2,0,210
Álvarez,2,1,511
C.Richards,2,1,194
Nelson,2,0,10
Bergvall,2,0,481
Brereton Díaz,2,0,584
Phillips,2,0,359
Sosa,2,0,620
Odobert,2,1,612
Broadhead,2,0,262
Hirst,2,0,272
Akanji,2,0,340
Ugochukwu,2,0,188
Winks,2,0,309
Aina,2,0,422
Awoniyi,2,0,424
Ward-Prowse,2,0,531
Zabarnyi,2,0,85
Calafiori,2,0,578
Cajuste,2,0,619
Doherty,2,0,543
Lewis,2,1,355
Pinnock,2,0,104
Downes,2,0,518
Cash,2,0,32
Spence,2,0,504
Yarmoliuk,2,0,111
McAteer,2,0,299
Morsy,2,0,278
Bradley,2,0,313
Doyle,2,0,544
Dorgu,2,,766
Konsa,2,0,44
Sterling,2,0,186
André,2,,642
Mings,2,0,49
Burgess,2,0,263
Devenny,2,,645
Pau,2,0,52
O’Reilly,2,0,607
Wieffer,2,0,149
G.Rodríguez,2,2,588
Ajer,2,0,86
Castagne,2,0,244
Werner,2,0,509
James,2,0,172
Keane,2,0,228
Adams,2,0,60
Greaves,2,0,270
Branthwaite,2,0,219
Manning,2,0,467
White,2,0,24
N.Gonzalez,2,,765
Matheus N.,2,0,356
Kamara,2,0,42
C.Doucouré,2,0,193
Burns,2,0,264
B.Soumaré,2,0,285
Willian,2,,772
Garner,2,0,223
Toti,2,0,567
De Cordova-Reid,2,1,290
Almirón,2,0,391
Van de Ven,2,0,506
R.Gomes,2,1,563
Agbadou,2,,720
Gómez,2,,714
Antony,2,0,365
Lamptey,2,0,131
Veltman,2,0,145
Jensen,2,1,95
Danso,2,,767
Alex Moreno,2,0,26
Zinchenko,2,0,25
Smallbone,2,0,471
Saliba,2,0,18
Young,2,0,656
Longstaff,2,0,410
Hill,2,0,68
S.Bueno,2,0,564
Cairney,2,0,243
O'Brien,2,0,582
Diop,2,0,245
Buendia,2,0,31
Walker,2,0,363
Philip,2,0,76
Dragusin,2,0,486
Roerslev,2,1,105
Dawson,2,0,542
Yoro,2,0,572
Hee Chan,2,0,550
Livramento,2,0,409
Davies,2,0,669
Edouard,2,4,198
Udogie,2,0,505
Iroegbunam,2,0,226
Bednarek,2,0,455
F.Kadıoğlu,2,,628
Diego Carlos,2,0,35
Chiesa,2,,636
Disasi,2,0,167
Coufal,2,1,516
Tuanzebe,2,0,282
Al-Hamadi,2,0,260
Schlupp,2,0,214
Stephens,2,0,472
Stewart,2,0,473
Skipp,2,0,501
Bree,2,0,457
Obi,2,,776
Okoli,2,0,301
Irving,2,0,576
Broja,2,0,156
Gruda,2,0,595
Todibo,2,0,591
Tsimikas,2,0,337
Kiwior,2,0,8
Trippier,2,0,418
M.França,2,0,208
Reed,2,0,254
Aké,2,0,341
W.Fofana,2,0,189
Y. Chermiti,2,0,237
Renato Veiga,2,0,184
Moore,2,0,610
Kelly,2,0,404
Kristiansen,2,0,296
Vestergaard,2,1,307
L.Guilherme,2,0,526
Miley,2,0,411
Cresswell,2,0,517
Osula,2,0,590
Smith,2,0,81
Welington,2,,718
Scarles,2,,677
Lallana,2,0,463
George,2,,696
Lewis-Skelly,2,0,597
Clyne,2,0,196
Stones,2,0,362
Acheampong,2,,697
Coulibaly,2,,726
Ricardo,2,0,302
Amass,2,,670
Milner,2,2,134
Jebbison,2,0,69
Forbs,2,,655
A. Garcia,2,,731
Morato,2,,653
Berge,2,0,622
Mosquera,2,1,558
Grønbæk,2,,734
Jorginho,2,0,7
March,2,0,132
Chilwell,2,0,160
Bella-Kotchap,2,0,456
Quansah,2,0,333
Krafth,2,0,405
Fraser,2,0,397
Cornet,2,0,515
Woolfenden,2,0,284
McTominay,2,1,381
Butler-Oyedeji,2,,665
Coady,2,0,288
Coleman,2,0,221
Maghoma,2,,674
Senesi,2,0,79
Patterson,2,0,234
Agbinone,2,,646
Gray,2,0,489
Henderson,2,0,201
Scarlett,2,0,500
H.Clarke,2,0,266
Boly,2,0,425
Toffolo,2,0,444
Orford,2,,701
Sangaré,2,1,442
Reguilón,2,0,496
Vinicius,2,0,258
Shaw,2,0,387
Collyer,2,0,613
Amo-Ameyaw,2,0,451
Mubama,2,,698
King,2,0,604
Konak,2,0,97
Pedro Lima,2,0,561
Webster,2,0,147
Lavia,2,0,174
Podence,2,0,562
Kayode,2,,757
Dewsbury-Hall,2,0,166
Igor,2,0,128
Tierney,2,0,21
