web_name,gw,npxgi,player_id
N.Aguerd,1,0.0,529
Foderingham,1,0.0,522
Fabianski,1,0.0,521
Earthy,1,0.0,519
M.Salah,2,0.5,328
Haaland,2,1.0,351
Palmer,2,1.1,182
Isak,2,0.5,401
Wissa,2,0.0,110
Watkins,2,1.0,58
I.Sarr,2,0.5,585
N.Jackson,2,0.3,180
Semenyo,2,1.8,78
Cunha,2,1.2,541
Mbeumo,2,0.1,99
Luis Díaz,2,1.6,327
B.Fernandes,2,0.9,366
O.Dango,2,0.3,74
Mitoma,2,0.8,136
Solanke,2,0.0,82
Rogers,2,0.5,54
J.Murphy,2,0.0,402
Enzo,2,0.1,168
Bowen,2,0.5,514
Son,2,1.3,503
Eze,2,0.7,199
Mateta,2,0.7,207
Trossard,2,0.2,23
Saka,2,0.2,17
Havertz,2,0.3,4
Szoboszlai,2,0.3,336
Madueke,2,0.9,177
Johnson,2,0.2,275
Evanilson,2,0.7,617
Wood,2,0.9,447
De Bruyne,2,1.5,345
Strand Larsen,2,0.9,566
Savinho,2,0.7,571
Raúl,2,0.0,252
Vardy,2,0.0,306
Martinelli,2,0.4,9
Garnacho,2,0.7,372
Gordon,2,0.9,398
Schade,2,0.0,106
Iwobi,2,0.2,247
Kulusevski,2,0.2,492
Damsgaard,2,0.0,89
João Pedro,2,0.6,129
Barnes,2,0.8,392
Kluivert,2,0.1,71
Foden,2,0.0,348
Rice,2,0.5,16
Delap,2,0.0,268
Welbeck,2,1.3,148
Gakpo,2,0.0,321
Tielemans,2,0.2,57
Gibbs-White,2,0.6,433
Bruno G.,2,0.2,394
Maddison,2,0.8,494
Elanga,2,0.5,432
Diogo J.,2,1.3,317
Neto,2,0.1,73
Ødegaard,2,0.5,13
Minteh,2,0.5,135
Kudus,2,0.1,525
Muñoz,2,0.0,211
Tavernier,2,0.9,83
Adama,2,1.0,239
Alexander-Arnold,2,0.6,311
Amad,2,0.3,364
Rashford,2,0.0,385
Bernardo,2,0.1,342
Aït-Nouri,2,0.6,533
Mac Allister,2,0.2,329
Georginio,2,0.0,618
Andreas,2,0.5,240
Harrison,2,0.5,224
Mitchell,2,0.1,210
Calvert-Lewin,2,0.1,220
Nketiah,2,0.0,11
Nkunku,2,0.1,181
Merino,2,,633
Beto,2,0.0,218
Darwin,2,0.0,316
Marmoush,2,,755
Muniz,2,0.7,251
Zirkzee,2,0.1,389
Buonanotte,2,0.2,117
M.Fernandes,2,0.0,623
L.Paquetá,2,0.1,527
Joelinton,2,0.2,403
Souček,2,0.1,530
Gvardiol,2,0.0,350
Smith Rowe,2,0.5,19
McGinn,2,0.0,48
A.Doucoure,2,0.1,217
Pedro Porro,2,0.0,495
El Khannouss,2,,635
Doku,2,0.9,346
Lewis-Potter,2,0.1,98
Gündogan,2,0.0,625
Davis,2,0.0,267
Ndiaye,2,0.0,232
Cook,2,0.3,64
Robertson,2,0.5,335
Kovačić,2,0.0,354
Ayari,2,0.0,600
Christie,2,0.1,63
Hutchinson,2,0.0,274
Hudson-Odoi,2,0.3,434
Sancho,2,0.0,386
Digne,2,0.0,36
Jota Silva,2,0.0,596
McNeil,2,0.6,230
Højlund,2,0.0,375
Jones,2,0.0,324
Duran,2,0.1,38
Matheus N.,2,0.0,356
Tonali,2,0.0,417
Sarabia,2,0.0,565
Richarlison,2,0.0,497
P.M.Sarr,2,0.0,499
Nørgaard,2,0.1,101
Mavididi,2,0.0,298
Robinson,2,0.2,255
Anderson,2,0.0,423
Archer,2,0.0,27
Cucurella,2,0.0,163
Kerkez,2,0.0,70
Hall,2,0.1,399
Wilson,2,0.0,259
Wan-Bissaka,2,0.0,388
Munetsi,2,,770
Collins,2,0.1,88
Bellegarde,2,0.0,535
Dalot,2,0.2,369
Tarkowski,2,0.4,236
Thomas,2,0.1,20
Adingra,2,0.6,113
Baleba,2,0.0,115
Dibling,2,0.0,608
Milenković,2,1.0,573
Lindstrøm,2,0.0,577
Onuachu,2,0.0,470
Aribo,2,0.0,452
N.Williams,2,0.3,437
Chalobah,2,0.0,159
Hughes,2,0.0,203
Lacroix,2,,650
Gravenberch,2,0.0,323
Enciso,2,0.0,121
Ndidi,2,0.1,300
O'Riley,2,,629
Wharton,2,0.3,216
Brooks,2,0.0,62
Armstrong,2,0.0,603
G.Jesus,2,0.0,2
Szmodics,2,0.3,611
Huijsen,2,0.0,580
J.Gomes,2,0.0,553
Casemiro,2,0.1,368
M.Asensio,2,,762
Saliba,2,0.0,18
Willock,2,0.1,420
J.Ayew,2,0.1,192
Werner,2,0.0,509
Antonio,2,0.6,512
Ramsey,2,0.0,53
Guéhi,2,0.0,200
Gabriel,2,0.0,3
Summerville,2,0.0,587
Ings,2,0.0,523
Bailey,2,0.0,28
Füllkrug,2,0.3,589
Roerslev,2,0.0,105
N.Semedo,2,0.0,559
Maatsen,2,0.1,45
Walker-Peters,2,0.2,476
Yates,2,0.1,449
Estupiñan,2,0.0,122
Caicedo,2,0.0,157
Lukić,2,0.0,249
Janelt,2,0.0,94
Grealish,2,0.1,349
McAtee,2,0.0,357
Eriksen,2,0.0,370
Emerson,2,0.0,520
Carvalho,2,0.0,314
Guedes,2,0.0,548
Manning,2,0.0,467
Enes Ünal,2,0.0,65
Schär,2,0.0,415
Harwood-Bellis,2,0.0,461
Virgil,2,0.0,339
Gusto,2,0.1,171
Tel,2,,768
Jaden,2,0.0,569
J.Clarke,2,,631
Kamada,2,0.0,205
Alcaraz,2,0.0,450
De Ligt,2,0.0,593
Van Hecke,2,0.0,144
João Félix,2,0.2,621
Van den Berg,2,0.0,338
C.Soler,2,,654
Livramento,2,0.0,409
Hinshelwood,2,0.0,126
Sinisterra,2,0.0,80
Ward-Prowse,2,0.0,531
Konaté,2,0.2,326
Mount,2,0.1,382
Doherty,2,0.1,543
Colwill,2,0.0,162
Onana,2,0.2,233
Burn,2,0.3,395
Nwaneri,2,0.0,12
Murillo,2,0.1,436
Gana,2,0.0,222
Sugawara,2,0.0,474
Sessegnon,2,0.0,579
Nelson,2,0.0,10
Kilman,2,0.2,524
Dominguez,2,0.1,431
Pinnock,2,0.0,104
Mario Jr.,2,0.1,557
Tsimikas,2,0.0,337
Martinez,2,0.0,47
Romero,2,0.7,498
Spence,2,0.0,504
Lerma,2,0.0,206
Ugarte,2,,652
Barkley,2,0.0,29
Burns,2,0.0,264
Broadhead,2,0.0,262
Mavropanos,2,0.0,528
Adams,2,0.0,60
Awoniyi,2,0.0,424
Gruda,2,0.0,595
Mazraoui,2,0.1,594
Odobert,2,0.0,612
Hirst,2,0.0,272
Kamaldeen,2,0.0,462
Chaplin,2,0.0,265
Tete,2,0.2,257
O'Shea,2,,630
A.Fatawu,2,0.1,570
Mainoo,2,0.0,378
De Cordova-Reid,2,0.0,290
Wieffer,2,0.0,149
Ajer,2,0.0,86
Ugochukwu,2,0.0,188
Mykolenko,2,0.0,231
Van de Ven,2,0.3,506
Zabarnyi,2,0.0,85
Lewis,2,0.5,355
Justin,2,0.0,295
Bentancur,2,0.0,480
Young,2,0.0,656
Philip,2,0.0,76
Ederson M.,2,0.0,347
Sosa,2,0.0,620
J.Timber,2,0.0,6
Mangala,2,,651
Yarmoliuk,2,0.0,111
Malen,2,,725
Jensen,2,0.2,95
O’Reilly,2,0.0,607
Maguire,2,0.0,377
Ferguson,2,0.0,123
Rúben,2,0.0,361
Toti,2,0.5,567
Downes,2,0.1,518
Branthwaite,2,0.0,219
Aina,2,0.1,422
Alex Moreno,2,0.0,26
Sterling,2,0.0,186
Scott,2,0.0,77
Cresswell,2,0.0,517
Veltman,2,0.1,145
Elliott,2,0.0,319
R.Gomes,2,0.0,563
Daka,2,0.0,289
Gómez,2,,714
Garner,2,0.0,223
Faes,2,0.3,291
Kristiansen,2,0.0,296
