id,first_name,second_name,web_name,team,full_name
300,wilfred,ndidi,ndidi,11,wilfred ndidi
301,caleb,okoli,okoli,11,caleb okoli
302,ricardo,barbosa pereira,ricardo,11,ricardo barbosa pereira
303,harry,souttar,souttar,11,harry souttar
304,jakub,stolarczyk,stolarczyk,11,jakub stolarczyk
305,luke,thomas,thomas,11,luke thomas
306,jamie,vardy,vardy,11,jamie vardy
307,jannik,vestergaard,vestergaard,11,jannik vestergaard
308,danny,ward,ward,11,danny ward
309,harry,winks,winks,11,harry winks
501,oliver,skipp,skipp,11,oliver skipp
570,abdul,fatawu,afatawu,11,abdul fatawu
606,will,alves,alves,11,will alves
616,ben,nelson,nelson,11,ben nelson
635,bilal,el khannouss,el khannouss,11,bilal el khannouss
694,henry,cartwright,cartwright,11,henry cartwright
708,thomas,wilson-brown,wilson-brown,11,thomas wilson-brown
726,woyo,coulibaly,coulibaly,11,woyo coulibaly
754,ruud,van nistelrooij,van nistelrooy,11,ruud van nistelrooij
792,jeremy,monga,monga,11,jeremy monga
796,olabade,aluko,olabade aluko,11,olabade aluko
797,jake,evans,jake evans,11,jake evans
310,alisson,ramses becker,abecker,12,alisson ramses becker
311,trent,alexander-arnold,alexander-arnold,12,trent alexander-arnold
312,stefan,bajcetic maquieira,bajcetic,12,stefan bajcetic maquieira
313,conor,bradley,bradley,12,conor bradley
315,bobby,clark,clark,12,bobby clark
316,darwin,nunez ribeiro,darwin,12,darwin nunez ribeiro
317,diogo,teixeira da silva,diogo j,12,diogo teixeira da silva
318,ben,doak,doak,12,ben doak
319,harvey,elliott,elliott,12,harvey elliott
320,endo,wataru,endo,12,endo wataru
321,cody,gakpo,gakpo,12,cody gakpo
322,joe,gomez,gomez,12,joe gomez
323,ryan,gravenberch,gravenberch,12,ryan gravenberch
324,curtis,jones,jones,12,curtis jones
325,caoimhin,kelleher,kelleher,12,caoimhin kelleher
326,ibrahima,konate,konate,12,ibrahima konate
327,luis,diaz,luis diaz,12,luis diaz
328,mohamed,salah,msalah,12,mohamed salah
329,alexis,mac allister,mac allister,12,alexis mac allister
330,james,mcconnell,mcconnell,12,james mcconnell
