web_name,gw,npxG,player_id
J.Murphy,2,0.0,402
Souček,2,0.1,530
Saka,2,0.1,17
Rogers,2,0.1,54
Muniz,2,0.6,251
Merino,2,,633
Tavernier,2,0.8,83
Maddison,2,0.4,494
Nketiah,2,0.0,11
Foden,2,0.0,348
Kluivert,2,0.0,71
Darwin,2,0.0,316
João Pedro,2,0.5,129
Son,2,1.1,503
Gibbs-White,2,0.4,433
Zirkzee,2,0.0,389
Højlund,2,0.0,375
Savinho,2,0.0,571
Muñoz,2,0.0,211
Georginio,2,0.0,618
Marmoush,2,,755
Nkunku,2,0.0,181
Duran,2,0.1,38
Elanga,2,0.2,432
De Bruyne,2,0.8,345
Smith Rowe,2,0.5,19
Amad,2,0.3,364
Iwobi,2,0.2,247
Tonali,2,0.0,417
Gvardiol,2,0.0,350
Kulusevski,2,0.0,492
Jones,2,0.0,324
Archer,2,0.0,27
Minteh,2,0.1,135
Ødegaard,2,0.4,13
Bruno G.,2,0.1,394
Bernardo,2,0.1,342
M.Fernandes,2,0.0,623
Buonanotte,2,0.0,117
Wilson,2,0.0,259
A.Doucoure,2,0.1,217
Adama,2,0.2,239
Joelinton,2,0.1,403
Richarlison,2,0.0,497
Rashford,2,0.0,385
Ndiaye,2,0.0,232
Nørgaard,2,0.1,101
P.M.Sarr,2,0.0,499
Lacroix,2,,650
Szmodics,2,0.3,611
Onuachu,2,0.0,470
Harrison,2,0.5,224
Neto,2,0.0,73
L.Paquetá,2,0.1,527
Milenković,2,1.0,573
Rice,2,0.1,16
G.Jesus,2,0.0,2
Sarabia,2,0.0,565
Baleba,2,0.0,115
Munetsi,2,,770
McAtee,2,0.0,357
M.Asensio,2,,762
Mac Allister,2,0.0,329
Gabriel,2,0.0,3
Dibling,2,0.0,608
Aït-Nouri,2,0.1,533
Damsgaard,2,0.0,89
Gündogan,2,0.0,625
Schär,2,0.0,415
Aribo,2,0.0,452
Carvalho,2,0.0,314
Ayari,2,0.0,600
Saliba,2,0.0,18
Enes Ünal,2,0.0,65
J.Gomes,2,0.0,553
Andreas,2,0.1,240
J.Ayew,2,0.1,192
Hudson-Odoi,2,0.0,434
Mount,2,0.1,382
Guedes,2,0.0,548
Cucurella,2,0.0,163
McGinn,2,0.0,48
De Ligt,2,0.0,593
Hutchinson,2,0.0,274
Yates,2,0.0,449
Enciso,2,0.0,121
Jaden,2,0.0,569
Chalobah,2,0.0,159
Adingra,2,0.1,113
Lewis-Potter,2,0.1,98
Virgil,2,0.0,339
Onana,2,0.2,233
Collins,2,0.1,88
N.Williams,2,0.3,437
Tielemans,2,0.0,57
Antonio,2,0.6,512
Armstrong,2,0.0,603
Van den Berg,2,0.0,338
Thomas,2,0.1,20
Mavididi,2,0.0,298
Awoniyi,2,0.0,424
Ings,2,0.0,523
Dalot,2,0.0,369
O'Riley,2,,629
Ndidi,2,0.1,300
Emerson,2,0.0,520
Brooks,2,0.0,62
Lindstrøm,2,0.0,577
Jota Silva,2,0.0,596
João Félix,2,0.2,621
Anderson,2,0.0,423
Kovačić,2,0.0,354
Sancho,2,0.0,386
Hirst,2,0.0,272
Alexander-Arnold,2,0.1,311
Guéhi,2,0.0,200
Harwood-Bellis,2,0.0,461
Füllkrug,2,0.3,589
Christie,2,0.0,63
Konaté,2,0.2,326
Bailey,2,0.0,28
Romero,2,0.5,498
Burn,2,0.3,395
Huijsen,2,0.0,580
Maguire,2,0.0,377
C.Soler,2,,654
Ramsey,2,0.0,53
Malen,2,,725
Willock,2,0.1,420
Casemiro,2,0.1,368
Gusto,2,0.0,171
Dominguez,2,0.1,431
Pedro Porro,2,0.0,495
Faes,2,0.3,291
Sessegnon,2,0.0,579
Summerville,2,0.0,587
Alcaraz,2,0.0,450
Mavropanos,2,0.0,528
Barkley,2,0.0,29
Kilman,2,0.1,524
Broadhead,2,0.0,262
O'Shea,2,,630
Lewis,2,0.5,355
Murillo,2,0.0,436
Rúben,2,0.0,361
Bentancur,2,0.0,480
Mario Jr.,2,0.1,557
Tarkowski,2,0.2,236
Adams,2,0.0,60
Hinshelwood,2,0.0,126
Tel,2,,768
Colwill,2,0.0,162
Daka,2,0.0,289
Justin,2,0.0,295
El Khannouss,2,,635
Van Hecke,2,0.0,144
Robertson,2,0.3,335
Sinisterra,2,0.0,80
Akanji,2,0.0,340
Nelson,2,0.0,10
Zabarnyi,2,0.0,85
Bellegarde,2,0.0,535
McNeil,2,0.0,230
Chaplin,2,0.0,265
Nwaneri,2,0.0,12
Martinez,2,0.0,47
Odobert,2,0.0,612
Grealish,2,0.1,349
O’Reilly,2,0.0,607
Ugarte,2,,652
Tosin,2,0.0,187
Gruda,2,0.0,595
Sosa,2,0.0,620
Pinnock,2,0.0,104
Kamaldeen,2,0.0,462
Bassey,2,0.0,241
Tete,2,0.2,257
Wan-Bissaka,2,0.0,388
C.Richards,2,0.1,194
Branthwaite,2,0.0,219
Doherty,2,0.0,543
Andersen,2,0.0,191
Kamada,2,0.0,205
Sterling,2,0.0,186
Ferguson,2,0.0,123
Mangala,2,,651
Doku,2,0.0,346
Gravenberch,2,0.0,323
Burgess,2,0.0,263
Lerma,2,0.0,206
Janelt,2,0.0,94
Cook,2,0.0,64
Gómez,2,,714
Lukić,2,0.0,249
Gana,2,0.0,222
Brereton Díaz,2,0.0,584
Estupiñan,2,0.0,122
Werner,2,0.0,509
Konsa,2,0.0,44
Hughes,2,0.0,203
Maatsen,2,0.0,45
J.Clarke,2,,631
Veltman,2,0.0,145
Hee Chan,2,0.0,550
Mitchell,2,0.0,210
Calafiori,2,0.0,578
Wieffer,2,0.0,149
Bergvall,2,0.0,481
Mainoo,2,0.0,378
Mazraoui,2,0.0,594
Ugochukwu,2,0.0,188
Davis,2,0.0,267
Dunk,2,0.0,120
J.Timber,2,0.0,6
Yarmoliuk,2,0.0,111
Matheus N.,2,0.0,356
Diego Carlos,2,0.0,35
Bednarek,2,0.0,455
Elliott,2,0.0,319
Kamara,2,0.0,42
Mings,2,0.0,49
