web_name,gw,SiB,player_id
Udogie,2,0,505
Burns,2,0,264
Yoro,2,0,572
Hill,2,0,68
Cash,2,0,32
Hughes,2,0,203
S.Bueno,2,0,564
Werner,2,0,509
Taylor,2,0,281
Downes,2,0,518
Yarmoliuk,2,0,111
Adams,2,0,60
Matheus N.,2,0,356
Dragusin,2,0,486
Diego Carlos,2,0,35
Gravenberch,2,0,323
O'Brien,2,0,582
White,2,0,24
Stewart,2,0,473
A.Fatawu,2,1,570
Manning,2,0,467
Philip,2,0,76
Danso,2,,767
Spence,2,0,504
Akanji,2,0,340
Davies,2,0,669
Diop,2,0,245
Al-Hamadi,2,0,260
Obi,2,,776
Bednarek,2,0,455
Todibo,2,0,591
Gana,2,0,222
Robinson,2,0,255
R.Gomes,2,0,563
Smallbone,2,0,471
Gomez,2,0,714
Eriksen,2,0,370
Antony,2,0,365
James,2,0,172
Tsimikas,2,0,337
Bissouma,2,0,482
Broja,2,0,156
Roerslev,2,0,105
W.Fofana,2,0,189
Caicedo,2,0,157
Digne,2,0,36
F.Kadıoğlu,2,,628
Kamara,2,0,42
N.Gonzalez,2,,765
Cook,2,0,64
Stephens,2,0,472
Aké,2,0,341
C.Doucouré,2,0,193
Edouard,2,3,198
M.França,2,0,208
Cajuste,2,0,619
Hee Chan,2,0,550
Okoli,2,0,301
Vestergaard,2,1,307
Lamptey,2,0,131
Kristiansen,2,0,296
Schlupp,2,0,214
Devenny,2,,645
Aina,2,0,422
Kelly,2,0,404
Miley,2,0,411
Y. Chermiti,2,0,237
Coufal,2,0,516
Tuanzebe,2,0,282
George,2,,696
Acheampong,2,,697
Agbadou,2,,720
Smith,2,0,81
Morato,2,,653
Alex Moreno,2,0,26
Kiwior,2,0,8
Buendia,2,0,31
Mosquera,2,1,558
Berge,2,0,622
Lewis-Skelly,2,0,597
Gruda,2,0,595
De Cordova-Reid,2,0,290
Osula,2,0,590
Wharton,2,0,216
Livramento,2,0,409
Chiesa,2,,636
Jebbison,2,0,69
Doyle,2,0,544
Ward-Prowse,2,0,531
L.Guilherme,2,0,526
B.Soumaré,2,0,285
André,2,,642
Garner,2,0,223
Renato Veiga,2,0,184
Stones,2,0,362
Veltman,2,0,145
Disasi,2,0,167
Phillips,2,0,359
Patterson,2,0,234
Young,2,0,656
Vinicius,2,0,258
H.Clarke,2,0,266
Coady,2,0,288
Woolfenden,2,0,284
Cornet,2,0,515
Iroegbunam,2,0,226
Forbs,2,,655
Bella-Kotchap,2,0,456
Willian,2,,772
Mheuka,2,,781
Jensen,2,0,95
Scarles,2,,677
Coulibaly,2,,726
Mubama,2,,698
Orford,2,,701
Esse,2,,730
Boly,2,0,425
Botman,2,0,393
Krafth,2,0,405
Trippier,2,0,418
Amass,2,,670
Butler-Oyedeji,2,,665
March,2,0,132
Webster,2,0,147
Igor,2,0,128
Cairney,2,0,243
Reed,2,0,254
Henderson,2,0,201
Collyer,2,0,613
Moore,2,0,610
Coleman,2,0,221
King,2,0,604
J.Cuenca,2,0,586
Milner,2,1,134
G.Rodríguez,2,0,588
Ricardo,2,0,302
Álvarez,2,0,511
Scarlett,2,0,500
Skipp,2,0,501
Arrizabalaga,2,0,152
Mudryk,2,0,179
Kayode,2,,757
Tomiyasu,2,0,22
Tierney,2,0,21
McTominay,2,1,381
Reguilón,2,0,496
Quansah,2,0,333
Thiago,2,0,107
Townsend,2,0,583
Lavia,2,0,174
Dewsbury-Hall,2,0,166
Evans,2,0,371
Senesi,2,0,79
Bree,2,0,457
Lallana,2,0,463
Clarke,2,,801
Fábio Vieira,2,0,1
Hein,2,0,5
Jorginho,2,0,7
Ramsdale,2,0,14
Raya,2,0,15
Barrenechea,2,0,30
Djiga,2,,769
Amougou,2,,771
Heath,2,,773
Anselmino,2,,774
Coby Ebere,2,,775
