web_name,gw,tpa,player_id
Patterson,2,0,234
Bissouma,2,0,482
March,2,0,132
Amass,2,,670
Ricardo,2,0,302
Chiesa,2,,636
Milner,2,2,134
Kiwior,2,0,8
Doyle,2,0,544
André,2,,642
L.Guilherme,2,0,526
Kelly,2,0,404
Krafth,2,0,405
Stones,2,1,362
Shaw,2,0,387
Reed,2,0,254
Maghoma,2,,674
Tierney,2,0,21
Agbadou,2,,720
Coulibaly,2,,726
C.Doucouré,2,0,193
Morsy,2,0,278
Bogarde,2,0,598
Osula,2,0,590
M.França,2,0,208
Renato Veiga,2,0,184
Jorginho,2,0,7
Fraser,2,0,397
Mee,2,0,100
Pedro Lima,2,0,561
Woolfenden,2,0,284
Lindelof,2,0,376
Reguilón,2,0,496
Clyne,2,0,196
Buendia,2,0,31
Choudhury,2,0,287
Collyer,2,0,613
Welington,2,,718
Harness,2,1,271
G.Rodríguez,2,0,588
Thiago,2,0,107
Y. Chermiti,2,0,237
Marc Guiu,2,0,178
Endo,2,0,320
Acheampong,2,,697
Orford,2,,701
Gray,2,0,489
Vinicius,2,0,258
Toffolo,2,0,444
Evans,2,0,371
Monga,2,,792
Cornet,2,0,515
Morato,2,,653
H.Clarke,2,0,266
J.Araujo,2,0,592
Coleman,2,0,221
Chilwell,2,0,160
A. Garcia,2,,731
